#Title: The Distribution of Thermal Pressures in the Diffuse, Cold Neutral
#       Medium of our Galaxy. II. An Expanded Survey of Interstellar C I
#       Fine-Structure Excitations
#Authors: Jenkins E.B., Tripp T.M.
#Table: Observed and Calculated Quantities in Specific Velocity Channels
#================================================================================
#Byte-by-byte Description of file: apj390295t4_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units    Label     Explanations
#--------------------------------------------------------------------------------
#   1- 11 A11    ---      Name      Target star name
#  13- 17 F5.1   km/s     RVel      Radial Velocity
#  19- 24 F6.3   ---      f1        f1
#  26- 30 F5.3   ---    e_f1        The 1{sigma} error in f1
#  32- 37 F6.3   ---      f2        f2
#  39- 43 F5.3   ---    e_f2        The 1{sigma} error in f2
#  45- 53 E9.2   cm-2     N(CIt)    Column density of C I in all 3 levels
#  55- 63 E9.2   cm-2     N(CII)    ? Inferred column density of C II
#  65- 69 F5.3   ---      g(low)    ? Fraction of C I at low pressure
#  71- 74 F4.2   [cm-3.K] log(p/k)  ? log(p/k) of the low pressure
#                                    fraction
#  76- 80 F5.2   [-]      log(I/I0) ? Log starlight intensity relative
#                                    to standard
Name,Vel,f1,e_f1,f2,e_f2,N(CIt),N(CII),g(low),log(p/k),log(I/I0)
HD108,-19.0,0.118,0.011,0.017,0.012,2.83e+013,2.42e+016,1.000,3.32,0.19
HD108,-18.5,0.126,0.010,0.021,0.010,3.44e+013,1.69e+016,1.000,3.38,0.04
HD108,-18.0,0.136,0.010,0.034,0.010,3.25e+013,2.12e+016,0.974,3.38,0.15
HD108,-17.5,0.141,0.013,0.034,0.013,2.61e+013,2.88e+016,0.974,3.38,0.34
HD108,-17.0,0.160,0.015,0.026,0.015,2.28e+013,2.44e+016,1.000,3.49,0.40
HD108,-16.5,0.148,0.013,0.041,0.013,2.60e+013,1.73e+016,0.964,3.42,0.19
HD108,-16.0,0.136,0.010,0.051,0.009,3.70e+013,1.98e+016,0.933,3.34,0.07
HD108,-15.5,0.164,0.007,0.056,0.006,5.89e+013,5.72e+015,0.935,3.50,-0.38
HD108,-14.0,0.241,0.010,0.092,0.005,1.03e+014,2.57e+016,0.891,3.73,0.15
HD108,-13.5,0.251,0.010,0.087,0.005,1.02e+014,1.07e+016,0.908,3.78,-0.10
HD108,-12.0,0.294,0.010,0.142,0.007,6.20e+013,1.33e+016,0.808,3.87,0.26
HD108,-11.5,0.243,0.009,0.111,0.008,4.86e+013,7.00e+015,0.849,3.72,-0.02
HD108,-11.0,0.190,0.010,0.088,0.010,3.57e+013,1.09e+016,0.873,3.53,0.05
HD108,-10.5,0.168,0.015,0.093,0.015,2.39e+013,1.92e+016,0.850,3.37,0.27
HD108,-10.0,0.114,0.012,0.065,0.013,2.71e+013,2.43e+016,0.892,3.12,0.11
HD108,-9.5,0.107,0.011,0.045,0.012,2.93e+013,2.60e+016,0.934,3.16,0.12
HD108,-9.0,0.133,0.012,0.048,0.013,2.68e+013,2.32e+016,0.939,3.31,0.21
HD108,-8.5,0.125,0.012,0.040,0.012,2.78e+013,2.38e+016,0.952,3.29,0.19
HD108,-8.0,0.106,0.010,0.020,0.011,3.14e+013,2.87e+016,0.994,3.25,0.17
HD108,-7.5,0.130,0.010,0.025,0.011,3.10e+013,3.27e+016,0.991,3.35,0.30
HD108,-7.0,0.164,0.012,0.032,0.012,2.76e+013,3.42e+016,0.990,3.48,0.45
HD108,-6.5,0.170,0.013,0.036,0.013,2.54e+013,3.24e+016,0.984,3.49,0.47
HD108,-6.0,0.171,0.016,0.038,0.016,2.08e+013,2.01e+016,0.979,3.51,0.39
HD108,-5.5,0.175,0.016,0.038,0.016,2.00e+013,8.33e+015,0.983,3.56,0.14
HD108,-5.0,0.167,0.016,0.033,0.017,1.94e+013,1.45e+016,0.990,3.52,0.30
HD108,-4.5,0.139,0.016,0.042,0.018,1.81e+013,1.17e+016,0.955,3.37,0.15
HD108,-4.0,0.150,0.016,0.063,0.017,1.83e+013,8.22e+015,0.912,3.38,0.04
